session,participant,order,target,category,lname,nation,religion,caste,ig_caste,q1,q2,q3
A,37,21,2,1,Joshi,Indian,Hindu,GM,obc,1,7,85
A,37,22,1,1,Desai,Indian,Hindu,GM,obc,1,7,95
A,37,23,13,4,Nadaf,Indian,Muslim,OBC,obc,1,4,75
A,37,24,12,3,Harijan,Indian,Hindu,SCST,obc,1,NA,80
A,38,1,7,2,Sambrani,Indian,Hindu,OBC,scst,1,1,85
A,38,2,23,6,Akhand,Foreign,Muslim,N/A,scst,0,1,82
A,38,3,18,5,Thapa,Foreign,Hindu,N/A,scst,0,5,90
A,38,4,5,2,Kale,Indian,Hindu,OBC,scst,1,3,95
A,38,5,3,1,Deshpande,Indian,Hindu,GM,scst,1,4,88
A,38,6,22,6,Mir,Foreign,Muslim,N/A,scst,0,NA,92
A,38,7,11,3,Wadder,Indian,Hindu,SCST,scst,1,2,90
A,38,8,4,1,Kulkarni,Indian,Hindu,GM,scst,1,5,98
A,38,9,24,6,Mirza,Foreign,Muslim,N/A,scst,0,1,99
A,38,10,15,4,Haq,Indian,Muslim,OBC,scst,0,4,93
A,38,11,9,3,Madar,Indian,Hindu,SCST,scst,1,1,80
A,38,12,16,4,Sheikh,Indian,Muslim,OBC,scst,1,NA,94
A,38,13,10,3,Kamble,Indian,Hindu,SCST,scst,1,4,80
A,38,14,14,4,Mulla,Indian,Muslim,OBC,scst,0,3,87
A,38,15,21,6,Sheikh,Foreign,Muslim,N/A,scst,0,NA,89
A,38,16,20,5,Dissanayake,Foreign,Hindu,N/A,scst,0,1,90
A,38,17,19,5,Prasanna,Foreign,Hindu,N/A,scst,0,2,93
A,38,18,6,2,Waghmore,Indian,Hindu,OBC,scst,0,2,85
A,38,19,8,2,Pal,Indian,Hindu,OBC,scst,1,7,96
A,38,20,17,5,Gurung,Foreign,Hindu,N/A,scst,0,NA,80
A,38,21,2,1,Joshi,Indian,Hindu,GM,scst,1,3,95
A,38,22,1,1,Desai,Indian,Hindu,GM,scst,0,6,98
A,38,23,13,4,Nadaf,Indian,Muslim,OBC,scst,1,5,90
A,38,24,12,3,Harijan,Indian,Hindu,SCST,scst,1,1,90
A,2,1,7,2,Sambrani,Indian,Hindu,OBC,gm,1,5,90
A,2,2,23,6,Akhand,Foreign,Muslim,N/A,gm,0,4,40
A,2,3,18,5,Thapa,Foreign,Hindu,N/A,gm,0,4,81
A,2,4,5,2,Kale,Indian,Hindu,OBC,gm,1,NA,82
A,2,5,3,1,Deshpande,Indian,Hindu,GM,gm,1,1,85
A,2,6,22,6,Mir,Foreign,Muslim,N/A,gm,0,4,80
A,2,7,11,3,Wadder,Indian,Hindu,SCST,gm,1,1,90
A,2,8,4,1,Kulkarni,Indian,Hindu,GM,gm,1,5,89
A,2,9,24,6,Mirza,Foreign,Muslim,N/A,gm,0,4,80
A,2,10,15,4,Haq,Indian,Muslim,OBC,gm,1,1,91
A,2,11,9,3,Madar,Indian,Hindu,SCST,gm,1,1,92
A,2,12,16,4,Sheikh,Indian,Muslim,OBC,gm,1,7,85
A,2,13,10,3,Kamble,Indian,Hindu,SCST,gm,1,1,85
A,2,14,14,4,Mulla,Indian,Muslim,OBC,gm,1,1,89
A,2,15,21,6,Sheikh,Foreign,Muslim,N/A,gm,0,4,80
A,2,16,20,5,Dissanayake,Foreign,Hindu,N/A,gm,0,4,83
A,2,17,19,5,Prasanna,Foreign,Hindu,N/A,gm,0,4,82
A,2,18,6,2,Waghmore,Indian,Hindu,OBC,gm,1,3,86
A,2,19,8,2,Pal,Indian,Hindu,OBC,gm,1,7,88
A,2,20,17,5,Gurung,Foreign,Hindu,N/A,gm,0,1,81
A,2,21,2,1,Joshi,Indian,Hindu,GM,gm,1,7,91
A,2,22,1,1,Desai,Indian,Hindu,GM,gm,1,1,90
A,2,23,13,4,Nadaf,Indian,Muslim,OBC,gm,1,1,92
A,2,24,12,3,Harijan,Indian,Hindu,SCST,gm,1,7,85
A,3,1,7,2,Sambrani,Indian,Hindu,OBC,obc,1,7,90
A,3,2,23,6,Akhand,Foreign,Muslim,N/A,obc,0,1,80
A,3,3,18,5,Thapa,Foreign,Hindu,N/A,obc,0,7,90
A,3,4,5,2,Kale,Indian,Hindu,OBC,obc,1,7,95
A,3,5,3,1,Deshpande,Indian,Hindu,GM,obc,1,7,98
A,3,6,22,6,Mir,Foreign,Muslim,N/A,obc,0,1,78
A,3,7,11,3,Wadder,Indian,Hindu,SCST,obc,0,1,79
A,3,8,4,1,Kulkarni,Indian,Hindu,GM,obc,1,7,94
A,3,9,24,6,Mirza,Foreign,Muslim,N/A,obc,0,1,80
